,,
Volcano Name,Latitude,Longitude
Balut,5.4,125.375
Parker,6.113,124.892
Matutum,6.37,125.07
Apo,6.989,125.269
Leonard Range,7.382,126.047
Makaturing,7.647,124.32
Latukan,7.65,124.45
Ragang,7.7,124.5
Kalatungan,7.95,124.8
Musuan,7.877,125.068
Malindang,8.22,123.63
Camiguin,9.203,124.673
Cuernos de Negros,9.25,123.17
Kanlaon,10.412,123.132
Mandalagan,10.65,123.25
Silay,10.77,123.23
Cabal¨ªan,10.285,125.218
Mahagnao,10.882,124.888
Biliran,11.523,124.535
Bulusan,12.769,124.056
Pocdol Mountains,13.05,123.958
Mayon,13.257,123.685
Masaraga,13.32,123.6
Iriga,13.458,123.451
Isarog,13.658,123.38
Malindig,13.24,122.018
Banahaw,14.07,121.48
San Pablo Volcanic Field,14.12,121.3
Taal,14.002,120.993
Laguna Caldera,14.42,121.27
Mariveles,14.527,120.482
Natib,14.72,120.4
Pinatubo,15.13,120.35
Arayat,15.2,120.742
Patoc,17.147,120.98
Ambalatungan Group,17.32,121.1
Cagua,18.222,122.123
Camiguin de Babuyanes,18.83,121.86
Didicas,19.077,122.202
Babuyan Claro,19.523,121.94
Unnamed,20.33,121.75
Iraya,20.469,122.01
Hainan Volcanic Field,19.905,110.229
Ly Son Group,15.38,109.12
Toroeng Prong,14.93,108
Haut Dong Nai,11.6,108.2
Bas Dong Nai,10.8,107.2
"Cendres, Ile des",10.158,109.014
Veteran,9.83,109.05
Popa,20.92,95.25
Singu Plateau,22.7,95.98
Tengchong,25.23,98.5
Unnamed,21.83,121.18
Unnamed,24.132,121.926
Kueishantao,24.841,121.953
Tatun Volcanic Group,25.178,121.553
Submarine Volcano NNE of Iriomotejima,24.57,123.93
Io-Torishima,27.881,128.223
Yokoate-jima,28.797,128.997
Akusekijima,29.465,129.594
Suwanosejima,29.638,129.714
Nakanoshima,29.859,129.857
Kuchinoshima,29.968,129.926
Kuchinoerabujima,30.443,130.217
Kikai,30.793,130.305
Ata,31.22,130.57
Aira,31.593,130.657
Yonemaru-Sumiyoshiike,31.771,130.592
Kirishimayama,31.934,130.862
Fukue,32.657,128.849
Unzendake,32.761,130.299
Asosan,32.884,131.104
Kujusan,33.086,131.249
Yufu-Tsurumi,33.282,131.39
Abu,34.5,131.6
Sanbesan,35.141,132.622
Oki-Dogo,36.176,133.334
Izu-Tobu,34.9,139.098
Hakoneyama,35.233,139.021
Fujisan,35.361,138.728
Yokodake,36.087,138.32
Ontakesan,35.893,137.48
Hakusan,36.155,136.771
Norikuradake,36.106,137.554
Akandanayama,36.2,137.573
Yakedake,36.227,137.587
Washiba-Kumonotaira,36.408,137.594
Midagahara,36.571,137.59
Niigata-Yakeyama,36.921,138.036
Myokosan,36.891,138.114
Asamayama,36.406,138.523
Kusatsu-Shiranesan,36.618,138.528
Shiga,36.688,138.519
Harunasan,36.477,138.851
Akagisan,36.56,139.193
Hiuchigatake,36.955,139.285
Nikko-Shiranesan,36.799,139.376
Nantaisan,36.765,139.491
Omanago Group,36.795,139.507
Takaharayama,36.9,139.777
Nasudake,37.125,139.963
Numazawa,37.444,139.566
Bandaisan,37.601,140.072
Adatarayama,37.647,140.281
Azumayama,37.735,140.244
Zaozan,38.144,140.44
Hijiori,38.599,140.162
Naruko,38.729,140.734
Kurikomayama,38.961,140.788
Chokaisan,39.099,140.049
Akita-Komagatake,39.761,140.799
Iwatesan,39.853,141.001
Hachimantai,39.958,140.854
Akita-Yakeyama,39.964,140.757
Megata,39.95,139.73
Iwakisan,40.656,140.303
Towada,40.51,140.88
Hakkodasan,40.659,140.877
Osorezan,41.279,141.12
Izu-Oshima,34.724,139.394
Toshima,34.52,139.279
Niijima,34.397,139.27
Kozushima,34.219,139.153
Miyakejima,34.094,139.526
Mikurajima,33.874,139.602
Kurose Hole,33.4,139.68
Hachijojima,33.137,139.766
Aogashima,32.458,139.759
Kita-Bayonnaise,32.1,139.85
Myojinsho,31.888,139.918
Sumisujima,31.44,140.051
Izu-Torishima,30.484,140.303
Sofugan,29.794,140.342
Suiyo Seamount,28.575,140.633
Mokuyo Seamount,28.327,140.572
Doyo Seamount,27.68,140.8
Nishinoshima,27.247,140.874
Kaikata Seamount,26.667,140.929
Kaitoku Seamount,26.127,141.102
Kita-Ioto,25.424,141.284
Ioto,24.751,141.289
Kita-Fukutokutai,24.417,141.417
Fukutoku-Oka-no-Ba,24.285,141.481
Minami-Hiyoshi,23.5,141.935
Nikko,23.078,142.326
Fukujin,21.93,143.47
Kasuga 1,21.765,143.71
Kasuga 2,21.6,143.637
NW Eifuku,21.485,144.043
Daikoku,21.324,144.194
Farallon de Pajaros,20.546,144.893
Ahyi,20.42,145.03
Supply Reef,20.13,145.1
Maug Islands,20.02,145.22
Asuncion,19.671,145.406
Agrigan,18.77,145.67
Pagan,18.13,145.8
Alamagan,17.6,145.83
Guguan,17.307,145.845
Zealandia Bank,16.88,145.85
Sarigan,16.708,145.78
South Sarigan Seamount,16.58,145.78
Anatahan,16.35,145.67
East Diamante,15.93,145.67
Ruby,15.62,145.57
Esmeralda Bank,15,145.25
NW Rota-1,14.601,144.775
Forecast Seamount,13.4,143.92
Seamount X,13.25,144.02
Mariana Back-Arc Segment at 15.5¡ãN,15.406,144.506
Oshima-Oshima,41.51,139.367
Esan,41.805,141.166
Hokkaido-Komagatake,42.063,140.677
Toya,42.544,140.839
Niseko,42.875,140.659
Yoteizan,42.827,140.812
Kuttara,42.491,141.16
Shikotsu,42.688,141.38
Rishirizan,45.179,141.242
Tokachidake,43.418,142.686
Taisetsuzan,43.664,142.854
Maruyama,43.418,143.031
Akan,43.384,144.013
Kussharo,43.615,144.427
Mashu,43.572,144.561
Rausudake,44.076,145.122
Tenchozan,44.044,145.086
Shiretoko-Iozan,44.133,145.161
Tomariyama [Golovnin],43.844,145.504
Raususan [Mendeleev],43.979,145.733
Ruruidake [Smirnov],44.454,146.139
Chachadake [Tiatia],44.353,146.252
